SchulNr;RegSchl;KoRe;KoHo;ABez1;ABez2;ABez3;PLZ;Ort;Strasse;TelVorw;Telefon;SF;OeffPri;KurzBez;SchBetrSchl;SchBetrSchlDatum;ArtDerTraegerschaft;SchultraegerNr;Schulgliederung;Ganztagsbetrieb;Aktiv;gueltigVon;gueltigBis
81498;315000;348232;5647911;Internationale Friedensschule Köln gGmbH;Geschäftsführung Hr. Jan Hülsmann;;50859;Köln;Neue Sandkaul 29;0221;3106340;00;2;Köln,Internat. Friedensschule Köln gGmbH;1;20070801;35;0;;0;1;;
81541;112000;342461;5693453;Ganztags-Waldorfschule Duisburg e.V.;c/o Frau Tanja Riesner;;47259;Duisburg;Heinrich-Bierwes-Straße 13-15;0203;44985880;00;2;Duisburg, Ganztags-Waldorfschule e.V.;1;20070807;60;0;;0;1;;
81632;558012;373719;5756760;Trägerverein Maria Montessori;Grundschule e.V.;Coesfeld e.V.;48653;Coesfeld;Seminarstraße 13;02541;8012838;00;2;Coesfeld, Trägerv. Maria Montessori e.V.;1;20080801;36;0;;0;1;;
81644;958028;479121;5672151;Schulzweckverband;Medebach-Hallenberg;;59964;Medebach;Oberstraße 28-30;;;00;1;Medebach, Schulzweckverb.Medeb.-Hallenb.;1;20080801;08;0;;0;1;;
81668;554052;379039;5772677;Schulzweckverband;Horstmar-Schöppingen;;48624;Schöppingen;Amtsstraße 17;;;00;1;Schöppingen,Schulzweckverb.Horstm.-Schöp;1;20080801;08;0;;0;1;;
81670;558020;392960;5755718;KOSMOS-Bildung gGmbH;Herr Dieter Hieke;;48329;Havixbeck;Tilbeck 2;02507;5392109;00;2;Havixbeck, KOSMOS-Bildung gGmbH;1;20080801;35;0;;0;1;;
81681;315000;359094;5643773;Gemeinnützige Gesellschaft;TÜV Rheinland Bildungswerk mbH;;51105;Köln;Am Grauen Stein 1;0221;8063005;00;2;Köln,Gemeinnütz.Gesellsch.TÜV Rheinl.mbH;1;20080801;35;0;;0;1;;
81747;766016;506247;5754766;Schulverband;Pestalozzischule Blomberg;;32825;Blomberg;Marktplatz 1;05235;444;00;1;Blomberg, Schulverband Pestalozzischule;1;20080801;08;0;;0;1;;
81772;711000;468908;5766452;Stiftung Marienschule der Ursulinen;;;33611;Bielefeld;Sieboldstr. 4a;0521;871851;00;2;Bielefeld,Stiftung Mariensch.d.Ursulinen;1;20090101;53;0;;0;1;;
81802;766052;513994;5753052;Freie Bildungsschule Harzberg e.V.;;;32676;Lügde;Am Harzberg 1;05282;9696940;00;2;Lügde, Fr. Bildungsschule Harzberg e.V.;1;20090801;36;0;;0;1;;
81838;554036;369841;5766216;Schulzweckverband Legden-Rosendahl;;;48739;Legden;Amtshausstr. 1;;;00;1;Legden, Schulzweckverb. Legden-Rosendahl;1;20090421;08;0;;0;1;;
81840;770032;493963;5788644;Erzieherkolleg Malche e.V.;;;32457;Porta Westfalica;Portastr. 8;0571;6453111;00;2;Porta Westfalica, Erzieherkolleg Malche;1;20090801;36;0;;0;1;;
81851;758012;474013;5773404;Das Forscherhaus;Gemeinnützige Bildungsgesellschaft mbH;;32051;Herford;Hausheider Straße 124;05221;33494;00;2;Herford, Das Forscherhaus gGmbH;1;20090801;35;0;;0;1;;
81863;358008;323019;5628900;Schulverein der;Freien Christlichen Schule Düren;;52349;Düren;Im Weyerfeld 5;02421;208640;00;2;Düren, Schulverein Fr. Christl. Schule;1;20090801;44;0;;0;1;;
81899;911000;375553;5701935;Schul- und Bildungswerkstatt gGmbH;;;44795;Bochum;Springorumallee 2;0234;38877201;00;2;Bochum, Schul- und Bildungswerkst. gGmbH;1;20090817;35;0;;0;1;;
81905;366016;343845;5615138;Schul- und Kindergartenverein Beth-El;der Mennoniten Brüdergemeinde Euskirchen;;53879;Euskirchen;Unitasstr. 46;;;00;2;Euskirchen,Schul-u.Kindergartenv.Beth-El;1;20090801;36;0;;0;1;;
81929;315000;350979;5646502;Gemeinnützige Gesellschaft ASK mbH;;;50829;Köln;Wasseramselweg 11;0221;9527570;00;2;Köln, Gemeinnützige Gesellschaft ASK mbH;1;20090801;35;0;;0;1;;
81942;382040;381720;5637208;Franziskus-Schule;Neunkirchen-Seelscheid e.V.;;53819;Neunkirchen-Seelscheid;Breite Str. 44;02247;9000151;00;2;Neunkirchen-Seel.,Franziskus-Sch.e.V.;1;20090801;36;0;;0;1;;
81991;124000;366523;5676414;Spektrum Bildungs-und Dialogverein e.V.;;;42329;Wuppertal;Boltenheide 4;0202;4292255;00;2;Solingen, Spektrum Bild.-u.Dialogv. e.V.;1;20100201;36;0;;0;1;;
82004;774032;479487;5732737;Caritas Wohnen;im Erzbistum Paderborn;gemeinnützige GmbH;33104;Paderborn;Merschweg 1a;05254;99600;00;2;Paderborn, Caritas Wohnen gGmbH;1;20100101;35;0;;0;1;;
82053;374016;383864;5667222;Berufskolleg Hückeswagen - Privatschule;Bergischer Unternehmen gGmbH;;42499;Hückeswagen;Goethestr. 83;02192;9337258;00;2;Hückeswagen,BK Hückesw.Berg.Untern.gGmbH;1;20100801;35;0;;0;1;;
82065;362028;350265;5636829;Rhein-Erft-Akademie GmbH;;;50354;Hürth;Industriestr. 149;02233;481143;00;2;Hürth, Rhein-Erft-Akademie GmbH;1;20100801;35;0;;0;1;;
82077;314000;362273;5620197;Träger der Freien Christlichen Schulen;Bonn/Rhein-Sieg e.V.;;53123;Bonn;Buntspechtweg 1;0228;92683699;00;2;Bonn, Träger d. Fr. Christlichen Schulen;1;20100101;44;0;;0;1;;
82089;554004;363112;5771924;Trägerverein;Helene-Helming-Schule Ahaus e.V.;;48683;Ahaus;Wessumer Str. 59;02561;8962348;00;2;Ahaus, Trägerverein Helene-Helming e.V.;1;20100801;36;0;;0;1;;
82090;711000;468430;5763317;Heinz Hunger Berufskolleg gGmbH;;;33602;Bielefeld;August-Bebel-Str. 135;0521;5573100410;00;2;Bielefeld,H. Hunger Berufskolleg gGmbH;1;20100801;35;0;;0;1;;
82119;566028;414212;5791789;FSTL GmbH;c/o Hermann Stubbe;;49479;Ibbenbüren;Wilhelmstr. 243;05451;5429150;00;2;Ibbenbüren, FSTL GmbH;1;20100801;35;0;;0;1;;
82120;774036;473128;5724434;Montessorischule Salzkotten e.V.;;;33154;Salzkotten;Am Friedhof 11;05258;2108080;00;2;Salzkotten, Montessorischule Salzk. e.V.;1;20100801;36;0;;0;1;;
82132;999999;999999;9999999;AFBB;Akademie für berufliche Bildung gGmbH;;01307;Dresden;Blasewitzer Str. 59;0351;250887-18;00;2;Dresden, AFBB gGmbH;1;20100801;35;0;;0;1;;
82156;774032;483429;5729830;Kolping Schulwerk gemeinnützige GmbH;;;33098;Paderborn;Am Busdorf 7;;;00;2;Paderborn, Kolping Schulwerk gGmbH;1;20101001;54;0;;0;1;;
82168;770024;491941;5795777;Christlicher Schulverein Minden e.V.;;;32425;Minden;Kingsleyallee 6;0571;94190731;00;2;Minden, Christl. Schulverein Minden e.V.;1;20110101;44;0;;0;1;;
82193;315000;360559;5646621;B & P gGmbH;;;51065;Köln;Arnsberger Str. 11;0221;96819812;00;2;Köln, B & P gGmbH;1;20110101;35;0;;0;1;;
82223;315000;355920;5646632;DIE Stiftung;private Schulen gemeinnützige GmbH;;50670;Köln;Gladbacher Wall 5;0221;91249361;00;2;Köln, DIE Stiftung priv. Schulen gGmbH;1;20110401;35;0;;0;1;;
82259;974040;438051;5713718;Evangelischer Kirchenkreis;Soest;;59494;Soest;Puppenstr. 3-5;02921;3960;00;2;Soest, Evangelischer Kirchenkreis Soest;1;20110801;42;0;;0;1;;
82260;382020;376739;5627063;Freie Christliche Bekenntnisschule e.V.;;;53773;Hennef (Sieg);Heidestr. 2;02242;8743906;00;2;Hennef,Freie Christl. Bekenntnissch.e.V.;1;20110801;44;0;;0;1;;
82272;111000;346444;5678165;Berufskollegs der Bauwirtschaft gGmbH;;;40237;Düsseldorf;Uhlandstr. 56;;;00;2;Düsseldorf,Berufskol.d.Bauwirtsch. gGmbH;1;20110801;35;0;;0;1;;
82296;113000;361303;5701980;RheinRuhrErsatzschulen gGmbH;;;45127;Essen;Maxstraße 58-60;0201;248535555;00;2;Essen, RheinRuhrErsatzschulen gGmbH;1;20110907;35;0;;0;1;;
82302;315000;352002;5645482;BilinGO gGmbH;;;50933;Köln;Stolberger Straße 311;0221;78873800;00;2;Köln, BilinGO gGmbH;1;20100801;35;0;;0;1;;
82314;113000;361200;5702600;Wirtschaftskolleg Weststadt gGmbH;;;45127;Essen;Thea-Leymann-Straße 35;0201;8216490;00;2;Essen, Wirtschaftskolleg Weststadt gGmbH;1;20110907;35;0;;0;1;;
82338;382020;378340;5626088;Rhein-Sieg-Akademie-Kunstkolleg gGmbH;;;53773;Hennef (Sieg);Wehrstr. 143;02242;2141;00;2;Hennef,Rhein-Sieg-Akad.-Kunstkoll. gGmbH;1;20110801;35;0;;0;1;;
82363;570020;433007;5743097;Schulzweckverband Beckum-Ennigerloh;;;59320;Ennigerloh;Marktplatz 1;;;00;1;Ennigerloh, Schulzweckv.Beckum-Ennigerl.;1;20120801;08;0;;0;1;;
82399;974004;453431;5712290;Schulzweckverband;Sekundarschule Anröchte/Erwitte;;59609;Anröchte;Hauptstr. 74;;;00;1;Anröchte,Schulzweckverb.SK Anrö./Erwitte;1;20120801;08;0;;0;1;;
82417;358028;322751;5625162;Schulzweckverband;Sekundarschule Kreuzau/Nideggen;;52372;Kreuzau;Bahnhofstr. 7;;;00;1;Kreuzau, Schulzweckverb.Kreuzau/Nideggen;1;20120801;08;0;;0;1;;
82430;154052;310248;5702748;Schulzweckverband;Sekundarschule Straelen/Wachtendonk;;47638;Straelen;Rathausstr. 1;;;00;1;Straelen,Schulzweckverb.SK Straelen/Wach;1;20120801;08;0;;0;1;;
82466;315000;355500;5643076;Michaeli Schulverein e.V.;;;50677;Köln;Vorgebirgswall 4-8;0221;9235910;00;2;Köln, Michaeli Schulverein e.V.;1;20120101;60;0;;0;1;;
82478;914000;395291;5691890;HagenSchule;gemeinnützige Aktiengesellschaft;;58097;Hagen;Lützowstr 125;02331;3400070;00;2;Hagen, HagenSchule gemeinnützige AG;1;20120801;35;0;;0;1;;
82508;315000;359211;5637187;OSK Offene Schule Köln gGmbH;;;50996;Köln;An der Wachsfabrik 25;02236;330210;00;2;Köln, OSK Offene Schule Köln gGmbH;1;20120801;35;0;;0;1;;
82510;112000;342654;5693478;BISA Bildungs-u.Schulakademie gGmbH;;;47259;Duisburg;Schulz-Knaudt-Str. 50;0203;7388300;00;2;Duisburg, BISA gGmbH;1;20120801;35;0;;0;1;;
82557;334020;304345;5604540;Schulzweckverband der Stadt Monschau und;der Gemeinden Simmerath, Hürtgenwald;Schulverband Nordeifel;52156;Monschau;Laufenstr. 84;;;00;1;Monschau,Schulzweckv.Mon/Simm/Hürtgenw.;1;20130801;08;0;;0;1;;
82582;366008;333716;5589697;Schulzweckverband;Blankenheim/Nettersheim;;53945;Blankenheim;Finkenberg 8;;;00;1;Blankenheim, Schulzw. Blankenh/Nettersh.;1;20130801;08;0;;0;1;;
82600;978036;408846;5710209;Werkstatt im Kreis Unna GmbH;;;59423;Unna;Nordring 39;02303;5888920;00;2;Unna, Werkstatt Kreis Unna GmbH;1;20130801;35;0;;0;1;;
82636;314000;370068;5620061;Privates Ernst-Kalkuhl-Gymnasium GmbH;;;53227;Bonn;Königswinterer Straße 534;0228;970900;00;2;Bonn, Priv. Ernst-Kalkuhl-Gym GmbH;1;20130801;35;0;;0;1;;
82648;774032;485837;5730602;Lummerlandschule gemeinnützige UG;;;33100;Paderborn;Vattmannstr. 5-5a;05251;8920640;00;2;Paderborn, Lummerlandschule gem. UG;1;20130801;35;0;;0;1;;
82650;911000;375535;5704070;Wirtschaftskolleg Bochum gGmbH;;;44793;Bochum;Bessemer Str. 80;;;00;2;Bochum, Wirtschaftskolleg Bochum gGmbH;1;20130801;35;0;;0;1;;
82661;570040;419653;5743933;Montessori-Schule Sendenhorst;gemeinnützige GmbH;;48324;Sendenhorst;Teigelkamp 5;02526;2375;00;2;Sendenhorst, Montessori-Schule gGmbH;1;20130801;35;0;;0;1;;
82673;770008;473303;5800778;Kompass Espelkamp e.V.;;;32339;Espelkamp;Im Knick 15;;;00;2;Espelkamp, Kompass Espelkamp e.V.;1;20130801;36;0;;0;1;;
82685;382060;374178;5627940;VCS - Rhein-Sieg e.V.;;;53721;Siegburg;Frankfurter Str. 86;02241;1265026;00;2;Siegburg, VCS - Rhein-Sieg e.V.;1;20130801;44;0;;0;1;;
82715;170032;330907;5718611;Freie Schule Wesel e.V.;;;47495;Rheinberg;Pastor-Wilden-Str. 7;;;00;2;Rheinberg, Freie Schule Wesel e.V.;1;20131002;36;0;;0;1;;
82740;974036;460915;5705183;Privater Schulträgerverein Rüthen e.V.;;;59602;Rüthen;Schlangenpfad 15;02952;4790074;00;2;Rüthen,Priv.Schulträgerver. Rüthen e.V.;1;20140801;36;0;;0;1;;
82764;334002;294445;5629404;Schulstiftung St. Ursula Aachen;;;52062;Aachen;Bergdriesch 32-36;0241;47030435;00;2;Aachen, Schulstiftung St. Ursula;1;20140101;55;0;;0;1;;
82790;358004;308955;5641528;Schulzweckverband Aldenhoven/Linnich;;;52457;Aldenhoven;Dietrich-Mülfahrt-Straße 11-13;;;00;1;Aldenhoven, Schulzweckverb.Aldenh.-Linn.;1;20140801;08;0;;0;1;;
82806;711000;462280;5758368;Diakonische Stiftung Ummeln;;;33649;Bielefeld;Veerhoffstr. 5;;;00;2;Bielefeld, Diakonische Stiftung Ummeln;1;20140801;44;0;;0;1;;
82818;170032;332100;5713420;International School of Life gGmbH;;;47495;Rheinberg;Kiefernstraße 64;02843;9144536;00;2;Rheinberg, International School of Life;1;20140801;35;0;;0;1;;
82867;566048;426799;5796418;FRIEDRICH KRÜGER STIFTUNG;;;49504;Lotte;Westerkappelener Str. 66;05404;96270;00;2;Lotte, Friedrich Krüger Stiftung;1;20150101;35;0;;0;1;;
82879;562012;359305;5725369;Stiftung St. Ursula Dorsten;;;46282;Dorsten;Ursulastraße 12;02362;912714;00;2;Dorsten, Stiftung St. Ursula;1;20150127;35;0;;0;1;;
82880;958036;464317;5689654;Sozialwerk für Bildung und Jugend gGmbH;;;59939;Olsberg;Am Schwesternheim 7;02962;9791115;00;2;Olsberg, Sozialwerk f. Bild.u.Jug. gGmbH;1;20150801;35;0;;0;1;;
82910;970020;435874;5647703;b school gemeinnützige GmbH;;;57271;Hilchenbach;Stift-Keppel-Weg 16;;;00;2;Hilchenbach, b school gemeinnützige GmbH;1;20150801;35;0;;0;1;;
82922;566044;429675;5777442;Trägerverein Freie Waldorfschule;Lienen e.V.;;49536;Lienen;Lührmannsweg 1;;;00;2;Lienen, Fr. Walddorfschule Lienen e.V.;1;20150801;36;0;;0;1;;
82934;766020;491439;5753403;Peter Gläsel Stiftung;;;32756;Detmold;Allee 15;;;00;2;Detmold, Peter Gläsel Stiftung;1;20150801;35;0;;0;1;;
82958;358008;323009;5631204;Förderschulzweckverband;im Kreis Düren;;52351;Düren;Bismarckstraße 16;;;00;1;Kreis Düren, Förderschulzweckverband;1;20150801;08;0;;0;1;;
82971;374032;398652;5636457;Freie Schule Berkenroth e.V.;;;51588;Nümbrecht;Loch 2;02291;9123659;00;2;Nümbrecht, Fr.Schule Nümbrecht;1;20150801;36;0;;0;1;;
82983;170024;335276;5702461;SCI Moers;gemeinnützige Gesellschaft für Einrich-;tungen und Betriebe sozialer Arbeit GmbH;47441;Moers;Hanns-Albeck-Platz 2;0151;22225132;00;2;Moers,SCI-gGmbH für Einr.u.Betr.soz.Arb.;1;20150801;35;0;;0;1;;
83021;554012;352286;5747191;Schönstätter Marienschule Borken e.V.;;;46325;Borken;Kapellenstr. 60;02861;9230;00;2;Borken,Schönstätter Mariensch.Borken e.V;1;20160218;55;0;;0;1;;
83057;154020;321492;5707540;Lern- und Lebenswelt Facettenreich gGmbH;;;47661;Issum;Burgweg 15;;;00;2;Issum,Lern-u.Lebensw.Facettenreich gGmbH;1;20160801;35;0;;0;1;;
83069;154040;297843;5741131;EUREGIO-Realschule Kranenburg e.V.;;;47559;Kranenburg;Am Hofberg 5;;;00;2;Kranenburg,EUREGIO-Reals. Kranenburg e.V;1;20160801;36;0;;0;1;;
83070;112000;345605;5707289;Rheinischer Dialog und;Bildungsverein e.V.;;47166;Duisburg;Kantstr. 30;0203;4680280;00;2;Duisburg,Rheinischer Dialog u.Bildungsv.;1;20160819;36;0;;0;1;;
83094;570016;416705;5735240;Tagesklinik Walstedde GmbH;;;48317;Drensteinfurt;Dorfstr. 9;;;00;2;Drensteinfurt,Tagesklinik Walstedde GmbH;1;20160801;35;0;;0;1;;
83100;366028;336045;5608006;Freie Veytalschule e.V.;;;53894;Mechernich;Am Katzenstein 1;;;00;2;Mechernich, Freie Veytalschule e.V.;1;20160801;60;0;;0;1;;
83112;766064;488990;5740019;Christlicher Schulverein Paderborn e.V.;;;33189;Schlangen;Rosenstr. 15;05252;9154400;00;2;Paderborn,Christl.Schulv. Paderborn e.V.;1;20160801;44;0;;0;1;;
83136;711000;467286;5762901;Montessori Schule Bielefeld gGmbH;;;33602;Bielefeld;Gadderbaumer Str. 20;0521;32928480;00;2;Bielefeld,MontessoriSchuleBielefeld gGmb;1;20160801;35;0;;0;1;;
83148;913000;397514;5706370;Semper Schulen Nordrhein-Westfalen gGmbH;;;44269;Dortmund;Lissaboner Allee 15;0231;22210010;00;2;Dortmund, Semper Schulen NRW gGmbH;1;20160801;35;0;;0;1;;
83150;315000;352258;5645500;CAPS Privatschul gGmbH;;;50933;Köln;Stolberger Straße 112;0221;37996433;00;2;Köln, CAPS Privatschul gGmbH;1;20160801;35;0;;0;1;;
83173;999999;999999;9999999;DAA Deutsche Angestellten-Akademie GmbH;;;22081;Hamburg;Alter Teichweg 19;;;00;2;Hamburg, DAA Deutsche Ang.-Akademie GmbH;1;20161001;35;0;;0;1;;
83197;566040;421235;5782942;Schulzweckverband Lengerich/Tecklenburg;;;49525;Lengerich;Tecklenburger Str. 2-4;;;00;1;Lengerich, Schulzweckverb.Lenger./Teckl.;1;19730801;08;0;;0;1;;
83239;566076;392450;5789288;Gemeinnütziger Verein;Freie Schule Rheine e.V.;;48432;Rheine;Bauernschaftsstr. 207;;;00;2;Rheine, Freie Schule Rheine e.V.;1;20170801;60;0;;0;1;;
83240;315000;355733;5646074;Ludwig Fresenius Schulen Westfalen GmbH;;;50670;Köln;Im MediaPark 4e;0221;4853000;00;2;Köln, Ludwig Fresenius Schulen Westfalen;1;20170510;35;0;;0;1;;
83252;382060;375030;5629685;Institut für pädagogische Diagnostik;gGmbH;;53721;Siegburg;Auf den Tongruben 3;02241;253790;00;2;Siegburg, Instit.f.päd. Diagn. gGmbH;1;20170801;35;0;;0;1;;
83288;382052;388240;5632987;Gesellschaft für Schulen und Erwachsenen;- Bildungsstätten mbH;;53809;Ruppichteroth;Zum Brölbach 2;02295;9089890;00;2;Stuttgart, Ges.f.Schulen und Erwachsenen;1;20170801;35;0;;0;1;;
83290;111000;344267;5682757;Genossenschaftsverband - Verband der;Regionen e.V.;;40468;Düsseldorf;Peter-Müller-Straße 26;0211;160914864;00;2;Düsseldorf, Verbund der Regionen e.V.;1;20170701;37;0;;0;1;;
83306;999999;999999;9999999;dreieins Innovative Pädagogik gGmbH;;;10117;Berlin;Seydelstraße 18;030;4211281;00;2;Berlin,dreieins Innovative Pädagogik gG;1;20171208;35;0;;0;1;;
83343;114000;329742;5689749;Schulstiftung Marienschule Krefeld;;;47798;Krefeld;Hubertusstr. 120;02151;977316;00;2;Krefeld, Schulstiftung Marienschule;1;20180101;55;0;;0;1;;
83392;166032;319057;5680893;FASAN Freie Aktive Schule;am Niederrhein e.V.;;41747;Viersen;Eichenstr. 124;0172;6082146;00;2;Viersen, FASAN Freie Aktive Schule e.V.;1;20180817;36;0;;0;1;;
83409;116000;321120;5672743;Textilakademie NRW Berufskolleg gGmbH;;;41065;Mönchengladbach;Rheydter Str. 329;02161;24750;00;2;Mönchengladbach, Textilakademie gGmbH;1;20180830;35;0;;0;1;;
83460;370016;296356;5660750;Gesamtschulzweckverband Heinsberg-;Waldfeucht;;52525;Heinsberg;Apfelstr. 60;02452;144010;00;1;Heinsberg, Gesamtschulzweckverb.Heinsb.;1;20180801;08;0;;0;1;;
83483;774032;482959;5729111;Sozialdienst katholischer Frauen e.V.;Ortsverein Paderborn;;33098;Paderborn;Kilianstr. 28;;;00;2;Paderborn, Sozialdienst kath.Frauen e.V.;1;20190101;55;0;;0;1;;
