SchulNr;RegSchl;KoRe;KoHo;ABez1;ABez2;ABez3;PLZ;Ort;Strasse;TelVorw;Telefon;SF;OeffPri;KurzBez;SchBetrSchl;SchBetrSchlDatum;ArtDerTraegerschaft;SchultraegerNr;Schulgliederung;Ganztagsbetrieb;Aktiv;gueltigVon;gueltigBis
73283;515000;401971;5759085;Verein Freie Waldorfschule Münster e.V.;;;48161;Münster;Hensenstr. 101;0251;314787;00;2;Münster, Verein Freie Waldorfschule e.V.;1;19830801;60;0;;0;1;;
73301;334002;293835;5627287;Schulverein Freie Waldorfschule e.V.;;;52064;Aachen;Anton-Kurze-Allee 10;0241;71044;00;2;Aachen, Schulverein Freie Waldorfschule;1;19850801;60;0;;0;1;;
73325;554012;352283;5746576;Montessori Borken e.V.;;;46325;Borken;An der Aa 19-21;02861;1342;00;2;Borken, Montessori e.V.;1;19850801;36;0;;0;1;;
73337;911000;376509;5704326;Trägerverein;Matthias-Claudius-Schulen Bochum e.V.;;44789;Bochum;Hermannshöhe 19;0234;94365-630;00;2;Bochum, Matthias-Claudius Schulen e.V.;1;19860801;44;0;;0;1;;
73349;120000;378897;5668493;Rudolf-Steiner-Schule;Remscheid e.V.;;42897;Remscheid;Schwarzer Weg 9;02191;667811;00;2;Remscheid, Rudolf-Steiner e.V.;1;19860801;60;0;;0;1;;
73362;911000;376908;5702292;Freie Schule Bochum e.V.;;;44799;Bochum;Wiemelhauser Str. 270;0234;72648;00;2;Bochum, Freie Schule Bochum e.V.;1;19850801;36;0;;0;1;;
73374;158008;361078;5676371;Freie Waldorfschule;Haan- Gruiten e.V.;;42781;Haan;Prälat-Marschall-Str. 34;02104;6466;00;2;Haan, Freie Waldorf e.V.;1;19850801;60;0;;0;1;;
73386;774032;480370;5729411;ATIW GmbH;;;33106;Paderborn;Riemekestraße 160;05251;824521;00;2;Paderborn, ATIW GmbH;1;19870801;37;0;;0;1;;
73398;766020;492993;5753481;Freie Waldorfschule Lippe-Detmold e.V.;;;32760;Detmold;Blomberger Str. 67;05231;958010;00;2;Detmold,Freie Waldorf Lippe-Detmold e.V.;1;19870801;60;0;;0;1;;
73404;378004;367364;5647090;Waldorfschulverein Bergisch Gladbach e.V;;;51427;Bergisch Gladbach;Mohnweg 13;02204;999980;00;2;Bergisch Gladbach, Waldorfschulverein;1;19870801;60;0;;0;1;;
73416;915000;413641;5721548;Freie Waldorfschule e.V.;;;59077;Hamm;Kobbenskamp 23;02381;40932;00;2;Hamm, Freie Waldorfschule e.V.;1;19870801;60;0;;0;1;;
73428;766020;491583;5755482;Christlicher Schulverein Lippe e.V.;;;32756;Detmold;Georgstraße 24;05231;921615;00;2;Detmold, Christl.Schulverein Lippe e.V.;1;19880801;44;0;;0;1;;
73441;766036;499036;5780118;OWL gemeinnützige Privatschul-;gesellschaft mbh;;32689;Kalletal;Schloss Varenholz 1;05755;9609696;00;2;Kalletal,OWL gemeinn.Priv.schulgesellsch;1;19880801;35;0;;0;1;;
