SNR;SGL;FSP;gueltigVon;gueltigBis
100112;GGS;  ;;
100112;GGS;EZ;;
100112;GGS;LB;;
100112;GGS;SB;;
100115;   ;EZ;;
100115;   ;LB;;
100115;   ;SB;;
100118;   ;LB;;
100119;   ;EZ;;
100119;   ;LB;;
100119;   ;SB;;
100121;GY9;  ;;
100122;   ;LB;;
100122;   ;EZ;;
100122;   ;SB;;
100122;   ;BL;;
100122;   ;SH;;
100125;   ;EZ;;
100125;   ;LB;;
100125;   ;SB;;
100125;SRH;  ;;
100125;SRH;EZ;;
100125;SRH;LB;;
100125;SRH;SB;;
100126;   ;EZ;;
100126;   ;LB;;
100126;   ;SB;;
100128;   ;EZ;;
100128;   ;LB;;
100128;   ;SB;;
100129;   ;EZ;;
100129;   ;LB;;
100129;   ;SB;;
100130;SI ;  ;;
100130;SI ;EZ;;
100130;SI ;LB;;
100130;SI ;SB;;
100131;   ;EZ;;
100131;   ;LB;;
100131;   ;SB;;
100132;SRH;  ;;
100132;SRH;EZ;;
100132;SRH;LB;;
100132;SRH;SB;;
100132;   ;EZ;;
100132;   ;LB;;
100132;   ;SB;;
100136;   ;LB;;
100136;   ;EZ;;
100136;   ;SB;;
100143;   ;EZ;;
100143;   ;LB;;
100143;   ;SB;;
100144;   ;EZ;;
100144;   ;LB;;
100144;   ;SB;;
100150;   ;EZ;;
100150;   ;LB;;
100150;   ;SB;;
100151;   ;EZ;;
100151;   ;LB;;
100152;   ;EZ;;
100152;   ;LB;;
100153;   ;EZ;;
100153;   ;LB;;
100153;   ;SB;;
100154;   ;EZ;;
100154;   ;SB;;
100154;   ;LB;;
100158;   ;LB;;
100158;   ;EZ;;
100158;   ;SB;;
100160;   ;LB;;
100160;   ;EZ;;
100160;   ;SB;;
100160;   ;BL;;
100160;   ;SH;;
100171;   ;LB;;
100171;   ;EZ;;
100171;   ;SB;;
100171;   ;GB;;
100171;   ;SG;;
100171;   ;GH;;
100183;   ;LB;;
100183;   ;EZ;;
100183;   ;SB;;
100183;   ;GB;;
100237;   ;LB;;
100237;   ;EZ;;
100237;   ;SB;;
100237;   ;GB;;
100250;   ;LB;;
100250;   ;EZ;;
100250;   ;SB;;
100250;   ;GB;;
100262;   ;LB;;
100262;   ;EZ;;
100262;   ;SB;;
100262;   ;GB;;
100274;   ;LB;;
100274;   ;EZ;;
100274;   ;SB;;
100286;   ;LB;;
100286;   ;EZ;;
100286;   ;SB;;
100304;   ;LB;;
100304;   ;EZ;;
100304;   ;SB;;
100304;   ;GB;;
100316;   ;LB;;
100316;   ;EZ;;
100316;   ;SB;;
100316;   ;GB;;
100316;   ;SG;;
100316;   ;GH;;
100328;   ;LB;;
100328;   ;EZ;;
100328;   ;SB;;
100330;   ;LB;;
100330;   ;SB;;
100330;   ;EZ;;
100389;   ;LB;;
100389;   ;SB;;
100389;   ;EZ;;
100390;   ;LB;;
100390;   ;EZ;;
100390;   ;SB;;
100390;   ;GB;;
100420;   ;LB;;
100420;   ;EZ;;
100420;   ;SB;;
100420;   ;SG;;
100420;   ;GH;;
100432;   ;LB;;
100432;   ;EZ;;
100432;   ;SB;;
100432;   ;GB;;
100432;   ;SG;;
100432;   ;GH;;
100444;   ;LB;;
100444;   ;EZ;;
100444;   ;SB;;
100468;   ;LB;;
100468;   ;EZ;;
100468;   ;SB;;
100468;   ;GB;;
100470;   ;EZ;;
100470;   ;LB;;
100470;   ;SB;;
100470;   ;GB;;
100470;   ;KB;;
100493;   ;LB;;
100493;   ;EZ;;
100493;   ;SB;;
100493;   ;BL;;
100493;   ;SH;;
100500;   ;LB;;
100500;   ;EZ;;
100500;   ;SB;;
100547;   ;LB;;
100547;   ;EZ;;
100547;   ;SB;;
100584;   ;LB;;
100584;   ;EZ;;
100584;   ;SB;;
100596;   ;LB;;
100596;   ;EZ;;
100596;   ;SB;;
100602;   ;LB;;
100602;   ;EZ;;
100602;   ;SB;;
100638;   ;LB;;
100638;   ;EZ;;
100638;   ;SB;;
100638;   ;GB;;
100638;   ;KB;;
100651;   ;LB;;
100651;   ;EZ;;
100651;   ;SB;;
100651;   ;SG;;
100651;   ;GH;;
100663;   ;LB;;
100663;   ;EZ;;
100663;   ;SB;;
100675;   ;LB;;
100675;   ;EZ;;
100675;   ;SB;;
100699;   ;LB;;
100699;   ;EZ;;
100699;   ;SB;;
100717;   ;LB;;
100717;   ;SB;;
100717;   ;EZ;;
100717;   ;GB;;
100730;   ;LB;;
100730;   ;SB;;
100730;   ;EZ;;
100730;   ;GB;;
100730;   ;SG;;
100730;   ;GH;;
100766;   ;LB;;
100766;   ;EZ;;
100766;   ;SB;;
100766;   ;GB;;
100766;   ;KB;;
100778;   ;LB;;
100778;   ;EZ;;
100778;   ;SB;;
100778;   ;GB;;
100780;   ;LB;;
100780;   ;EZ;;
100780;   ;SB;;
100791;   ;LB;;
100791;   ;EZ;;
100791;   ;SB;;
100791;   ;GB;;
100791;   ;KB;;
100808;   ;LB;;
100808;   ;EZ;;
100808;   ;SB;;
100808;   ;GB;;
100808;   ;BL;;
100808;   ;SH;;
100810;   ;LB;;
100810;   ;SB;;
100810;   ;EZ;;
100810;   ;KB;;
100821;   ;LB;;
100821;   ;EZ;;
100821;   ;SB;;
100821;   ;SG;;
100821;   ;GH;;
100833;   ;LB;;
100833;   ;EZ;;
100833;   ;SB;;
100833;   ;GB;;
100833;   ;BL;;
100833;   ;SH;;
100845;   ;LB;;
100845;   ;SB;;
100845;   ;EZ;;
100845;   ;GB;;
100845;   ;SG;;
100845;   ;GH;;
100869;   ;LB;;
100869;   ;EZ;;
100869;   ;SB;;
100870;   ;LB;;
100870;   ;EZ;;
100870;   ;SB;;
100870;   ;SG;;
100870;   ;GH;;
100882;   ;LB;;
100882;   ;EZ;;
100882;   ;SB;;
100894;   ;LB;;
100894;   ;EZ;;
100894;   ;SB;;
100900;   ;LB;;
100900;   ;EZ;;
100900;   ;SB;;
100900;   ;GB;;
100924;   ;LB;;
100924;   ;EZ;;
100924;   ;SB;;
100924;   ;GB;;
100924;   ;KB;;
100924;   ;SG;;
100924;   ;GH;;
100936;   ;LB;;
100936;   ;EZ;;
100936;   ;SB;;
100936;   ;GB;;
100936;   ;KB;;
100950;   ;LB;;
100950;   ;EZ;;
100950;   ;SB;;
100950;   ;GB;;
100973;   ;LB;;
100973;   ;EZ;;
100973;   ;SB;;
100973;   ;GB;;
100973;   ;KB;;
100985;   ;LB;;
100985;   ;EZ;;
100985;   ;SB;;
100985;   ;GB;;
101000;   ;LB;;
101000;   ;EZ;;
101000;   ;SB;;
101011;   ;LB;;
101011;   ;EZ;;
101011;   ;SB;;
101023;   ;LB;;
101023;   ;EZ;;
101023;   ;SB;;
101023;   ;GB;;
101023;   ;KB;;
101023;RKB;LB;;
101023;RKB;EZ;;
101023;RKB;SB;;
101023;RKB;GB;;
101023;RKB;KB;;
101023;RKB;  ;;
101047;   ;LB;;
101047;   ;SB;;
101047;   ;EZ;;
101047;   ;GB;;
101059;   ;LB;;
101059;   ;EZ;;
101059;   ;SB;;
101059;   ;GB;;
101059;   ;KB;;
101060;   ;LB;;
101060;   ;EZ;;
101060;   ;SB;;
101060;   ;GB;;
101060;   ;BL;;
101060;   ;SH;;
101084;   ;EZ;;
101084;   ;LB;;
101084;   ;SB;;
101084;   ;GB;;
101126;   ;EZ;;
101126;   ;LB;;
101126;   ;SB;;
101126;   ;GB;;
101138;   ;EZ;;
101138;   ;LB;;
101138;   ;SB;;
101138;   ;GB;;
101151;   ;EZ;;
101151;   ;LB;;
101151;   ;SB;;
101151;   ;GB;;
101163;   ;EZ;;
101163;   ;LB;;
101163;   ;SB;;
101163;   ;GB;;
101254;   ;EZ;;
101254;   ;LB;;
101254;   ;SB;;
101254;   ;GB;;
101266;   ;EZ;;
101266;   ;LB;;
101266;   ;SB;;
101266;   ;GB;;
101357;   ;EZ;;
101357;   ;LB;;
101357;   ;SB;;
101357;   ;GB;;
101370;   ;EZ;;
101370;   ;LB;;
101370;   ;SB;;
101370;   ;GB;;
101400;   ;EZ;;
101400;   ;LB;;
101400;   ;SB;;
101400;   ;GB;;
101412;   ;EZ;;
101412;   ;LB;;
101412;   ;SB;;
101412;   ;GB;;
101424;   ;EZ;;
101424;   ;LB;;
101424;   ;SB;;
101424;   ;GB;;
101436;   ;EZ;;
101436;   ;LB;;
101436;   ;SB;;
101436;   ;GB;;
101473;   ;EZ;;
101473;   ;LB;;
101473;   ;SB;;
101473;   ;GB;;
101527;   ;EZ;;
101527;   ;LB;;
101527;   ;SB;;
101527;   ;GB;;
101552;   ;EZ;;
101552;   ;LB;;
101552;   ;SB;;
101552;   ;GB;;
101564;   ;EZ;;
101564;   ;LB;;
101564;   ;SB;;
101564;   ;GB;;
101606;   ;EZ;;
101606;   ;LB;;
101606;   ;SB;;
101606;   ;GB;;
101643;   ;EZ;;
101643;   ;LB;;
101643;   ;SB;;
101643;   ;GB;;
101734;   ;EZ;;
101734;   ;LB;;
101734;   ;SB;;
101734;   ;GB;;
101771;   ;BL;;
101771;   ;SH;;
101771;   ;EZ;;
101771;   ;LB;;
101771;   ;SB;;
101771;   ;GB;;
101771;   ;GH;;
101771;   ;SG;;
101801;   ;EZ;;
101801;   ;LB;;
101801;   ;SB;;
101801;   ;GB;;
101801;   ;GH;;
101801;   ;SG;;
101801;   ;BL;;
101801;   ;SH;;
101813;   ;BL;;
101813;   ;SH;;
101813;   ;EZ;;
101813;   ;LB;;
101813;   ;SB;;
101813;   ;GB;;
101813;   ;GH;;
101813;   ;SG;;
101837;   ;EZ;;
101837;   ;LB;;
101837;   ;SB;;
101837;   ;GB;;
101837;   ;GH;;
101837;   ;SG;;
101837;   ;BL;;
101837;   ;SH;;
101850;   ;EZ;;
101850;   ;LB;;
101850;   ;SB;;
101850;   ;GB;;
101850;   ;GH;;
101850;   ;SG;;
101850;   ;BL;;
101850;   ;SH;;
101886;   ;EZ;;
101886;   ;LB;;
101886;   ;SB;;
101886;   ;GB;;
101886;   ;GH;;
101886;   ;SG;;
101886;   ;BL;;
101886;   ;SH;;
101898;   ;BL;;
101898;   ;SH;;
101898;   ;EZ;;
101898;   ;LB;;
101898;   ;SB;;
101898;   ;GB;;
101898;   ;GH;;
101898;   ;SG;;
101904;   ;EZ;;
101904;   ;LB;;
101904;   ;SB;;
101904;   ;GB;;
101904;   ;GH;;
101904;   ;SG;;
101904;   ;BL;;
101904;   ;SH;;
101916;   ;BL;;
101916;   ;SH;;
101916;   ;EZ;;
101916;   ;LB;;
101916;   ;SB;;
101916;   ;GB;;
101916;   ;GH;;
101916;   ;SG;;
101930;   ;EZ;;
101930;   ;LB;;
101930;   ;SB;;
101930;   ;GB;;
101930;   ;GH;;
101930;   ;SG;;
101930;   ;BL;;
101930;   ;SH;;
101941;   ;EZ;;
101941;   ;LB;;
101941;   ;SB;;
101941;   ;GB;;
101941;   ;GH;;
101941;   ;SG;;
101941;   ;BL;;
101941;   ;SH;;
102003;   ;BL;;
102003;   ;SH;;
102003;GMS;BL;;
102003;GMS;SH;;
102003;   ;EZ;;
102003;   ;LB;;
102003;   ;SB;;
102003;   ;GB;;
102003;   ;GH;;
102003;   ;SG;;
102003;GMS;EZ;;
102003;GMS;LB;;
102003;GMS;SB;;
102003;GMS;GB;;
102003;GMS;GH;;
102003;GMS;SG;;
102003;GMS;  ;;
102015;   ;EZ;;
